Employee ID,Termination Date
39,12/1/2020
40,9/16/2020
109,7/10/2019
112,2/28/2019
122,4/22/2021
125,8/27/2020
149,6/15/2020
162,4/23/2021
228,3/6/2020
234,10/16/2018
322,12/18/2020
422,7/10/2019
430,5/4/2018
433,9/5/2018
501,11/6/2020
653,6/22/2018
678,4/17/2019
718,7/19/2017
730,12/1/2020
731,2/22/2021
764,8/10/2018
766,7/12/2019
806,8/7/2020
865,3/8/2021
879,12/4/2018
912,2/28/2020
944,9/6/2017
1003,8/6/2020
1041,2/14/2020
1051,4/1/2021
1110,1/12/2021
1150,9/7/2018
1356,7/9/2018
1375,5/25/2018
1391,2/5/2020
1407,9/15/2017
1414,9/1/2017
1437,11/19/2018
1526,7/10/2019
1536,2/1/2018
1559,7/10/2019
1562,5/18/2021
1624,7/10/2019
1640,8/1/2019
1656,12/1/2020
1680,8/21/2020
1688,7/10/2019
1693,12/28/2018
1698,10/31/2018
1709,1/31/2020
1724,12/1/2020
1726,5/28/2020
1753,6/15/2018
1754,12/1/2020
1755,3/12/2021
1812,4/1/2019
1838,6/29/2018
1868,3/12/2021
1885,2/14/2019
1896,6/25/2018
1920,1/17/2019
1944,7/15/2020
1947,8/5/2020
2048,1/18/2021
2081,2/1/2018
2082,6/1/2018
2125,2/1/2018
2126,6/2/2020
2165,8/15/2019
2184,6/26/2020
2228,2/1/2018
2371,5/28/2020
2386,12/19/2019
2423,9/18/2020
2434,2/12/2021
2480,9/21/2018
2483,6/2/2020
2513,3/15/2018
2603,12/2/2019
2615,6/13/2018
2667,2/1/2018
2672,4/30/2021
2675,6/29/2018
2707,8/28/2019
2716,8/30/2019
2720,4/9/2020
2731,12/31/2020
2751,9/2/2020
2829,6/25/2020
2845,6/10/2020
2895,12/13/2019
2898,4/8/2020
2909,4/24/2020
2965,8/7/2020
2983,6/14/2018
2987,10/8/2020
3040,11/16/2018
3052,8/1/2019
3055,2/1/2018
3057,8/29/2018
3089,9/20/2019
3192,10/17/2018
3212,10/11/2019
3244,7/20/2018
3245,1/3/2019
3252,6/24/2019
3326,7/12/2019
3331,5/11/2018
3332,5/1/2017
3351,8/16/2019
3381,7/1/2017
3455,11/14/2017
3461,1/4/2019
3482,2/1/2018
3490,7/10/2019
3561,10/2/2020
3596,6/29/2017
3616,1/22/2020
3635,7/27/2018
3662,1/29/2021
3776,4/28/2021
3789,9/4/2018
3892,7/23/2020
3957,1/12/2018
3966,12/18/2019
3974,4/6/2020
4016,7/10/2019
4071,5/21/2021
4081,9/10/2020
4102,6/14/2019
4179,7/10/2019
4180,12/1/2020
4232,8/10/2018
4249,7/15/2020
