Home,Away,Match_num
ATL,BKN,1
ATL,BOS,1
ATL,BOS,2
ATL,CHA,1
ATL,CHA,2
ATL,CHI,1
ATL,CHI,2
ATL,CLE,1
ATL,DAL,1
ATL,DEN,1
ATL,DET,1
ATL,DET,2
ATL,GS,1
ATL,HOU,1
ATL,IND,1
ATL,IND,2
ATL,LAC,1
ATL,LAL,1
ATL,MEM,1
ATL,MIA,1
ATL,MIA,2
ATL,MIL,1
ATL,MIL,2
ATL,MIN,1
ATL,NO,1
ATL,NY,1
ATL,NY,2
ATL,OKC,1
ATL,ORL,1
ATL,ORL,2
ATL,PHI,1
ATL,PHI,2
ATL,PHX,1
ATL,POR,1
ATL,SAC,1
ATL,SAS,1
ATL,TOR,1
ATL,TOR,2
ATL,UTA,1
ATL,WAS,1
ATL,WAS,2
BKN,ATL,1
BKN,ATL,2
BKN,BOS,1
BKN,BOS,2
BKN,CHA,1
BKN,CHA,2
BKN,CHI,1
BKN,CHI,2
BKN,CLE,1
BKN,CLE,2
BKN,DAL,1
BKN,DEN,1
BKN,DET,1
BKN,DET,2
BKN,GS,1
BKN,HOU,1
BKN,IND,1
BKN,LAC,1
BKN,LAL,1
BKN,MEM,1
BKN,MIA,1
BKN,MIA,2
BKN,MIL,1
BKN,MIL,2
BKN,MIN,1
BKN,NO,1
BKN,NY,1
BKN,NY,2
BKN,OKC,1
BKN,ORL,1
BKN,PHI,1
BKN,PHI,2
BKN,PHX,1
BKN,POR,1
BKN,SAC,1
BKN,SAS,1
BKN,TOR,1
BKN,TOR,2
BKN,UTA,1
BKN,WAS,1
BKN,WAS,2
BOS,ATL,1
BOS,ATL,2
BOS,BKN,1
BOS,BKN,2
BOS,CHA,1
BOS,CHA,2
BOS,CHI,1
BOS,CLE,1
BOS,CLE,2
BOS,DAL,1
BOS,DEN,1
BOS,DET,1
BOS,DET,2
BOS,GS,1
BOS,HOU,1
BOS,IND,1
BOS,IND,2
BOS,LAC,1
BOS,LAL,1
BOS,MEM,1
BOS,MIA,1
BOS,MIA,2
BOS,MIL,1
BOS,MIL,2
BOS,MIN,1
BOS,NO,1
BOS,NY,1
BOS,NY,2
BOS,OKC,1
BOS,ORL,1
BOS,ORL,2
BOS,PHI,1
BOS,PHI,2
BOS,PHX,1
BOS,POR,1
BOS,SAC,1
BOS,SAS,1
BOS,TOR,1
BOS,TOR,2
BOS,UTA,1
BOS,WAS,1
CHA,ATL,1
CHA,ATL,2
CHA,BKN,1
CHA,BKN,2
CHA,BOS,1
CHA,BOS,2
CHA,CHI,1
CHA,CHI,2
CHA,CLE,1
CHA,CLE,2
CHA,DAL,1
CHA,DEN,1
CHA,DET,1
CHA,DET,2
CHA,GS,1
CHA,HOU,1
CHA,IND,1
CHA,LAC,1
CHA,LAL,1
CHA,MEM,1
CHA,MIA,1
CHA,MIA,2
CHA,MIL,1
CHA,MIL,2
CHA,MIN,1
CHA,NO,1
CHA,NY,1
CHA,NY,2
CHA,OKC,1
CHA,ORL,1
CHA,ORL,2
CHA,PHI,1
CHA,PHI,2
CHA,PHX,1
CHA,POR,1
CHA,SAC,1
CHA,SAS,1
CHA,TOR,1
CHA,UTA,1
CHA,WAS,1
CHA,WAS,2
CHI,ATL,1
CHI,ATL,2
CHI,BKN,1
CHI,BKN,2
CHI,BOS,1
CHI,BOS,2
CHI,CHA,1
CHI,CLE,1
CHI,CLE,2
CHI,DAL,1
CHI,DEN,1
CHI,DET,1
CHI,DET,2
CHI,GS,1
CHI,HOU,1
CHI,IND,1
CHI,IND,2
CHI,LAC,1
CHI,LAL,1
CHI,MEM,1
CHI,MIA,1
CHI,MIA,2
CHI,MIL,1
CHI,MIL,2
CHI,MIN,1
CHI,NO,1
CHI,NY,1
CHI,OKC,1
CHI,ORL,1
CHI,ORL,2
CHI,PHI,1
CHI,PHI,2
CHI,PHX,1
CHI,POR,1
CHI,SAC,1
CHI,SAS,1
CHI,TOR,1
CHI,TOR,2
CHI,UTA,1
CHI,WAS,1
CHI,WAS,2
CLE,ATL,1
CLE,ATL,2
CLE,BKN,1
CLE,BKN,2
CLE,BOS,1
CLE,BOS,2
CLE,CHA,1
CLE,CHA,2
CLE,CHI,1
CLE,CHI,2
CLE,DAL,1
CLE,DEN,1
CLE,DET,1
CLE,DET,2
CLE,GS,1
CLE,HOU,1
CLE,IND,1
CLE,IND,2
CLE,LAC,1
CLE,LAL,1
CLE,MEM,1
CLE,MIA,1
CLE,MIA,2
CLE,MIL,1
CLE,MIL,2
CLE,MIN,1
CLE,NO,1
CLE,NY,1
CLE,NY,2
CLE,OKC,1
CLE,ORL,1
CLE,PHI,1
CLE,PHX,1
CLE,POR,1
CLE,SAC,1
CLE,SAS,1
CLE,TOR,1
CLE,TOR,2
CLE,UTA,1
CLE,WAS,1
CLE,WAS,2
DAL,ATL,1
DAL,BKN,1
DAL,BOS,1
DAL,CHA,1
DAL,CHI,1
DAL,CLE,1
DAL,DEN,1
DAL,DET,1
DAL,GS,1
DAL,GS,2
DAL,HOU,1
DAL,HOU,2
DAL,IND,1
DAL,LAC,1
DAL,LAC,2
DAL,LAL,1
DAL,MEM,1
DAL,MEM,2
DAL,MIA,1
DAL,MIL,1
DAL,MIN,1
DAL,MIN,2
DAL,NO,1
DAL,NO,2
DAL,NY,1
DAL,OKC,1
DAL,OKC,2
DAL,ORL,1
DAL,PHI,1
DAL,PHX,1
DAL,PHX,2
DAL,POR,1
DAL,POR,2
DAL,SAC,1
DAL,SAC,2
DAL,SAS,1
DAL,SAS,2
DAL,TOR,1
DAL,UTA,1
DAL,UTA,2
DAL,WAS,1
DEN,ATL,1
DEN,BKN,1
DEN,BOS,1
DEN,CHA,1
DEN,CHI,1
DEN,CLE,1
DEN,DAL,1
DEN,DAL,2
DEN,DET,1
DEN,GS,1
DEN,GS,2
DEN,HOU,1
DEN,HOU,2
DEN,IND,1
DEN,LAC,1
DEN,LAC,2
DEN,LAL,1
DEN,MEM,1
DEN,MIA,1
DEN,MIL,1
DEN,MIN,1
DEN,MIN,2
DEN,NO,1
DEN,NO,2
DEN,NY,1
DEN,OKC,1
DEN,OKC,2
DEN,ORL,1
DEN,PHI,1
DEN,PHX,1
DEN,PHX,2
DEN,POR,1
DEN,POR,2
DEN,SAC,1
DEN,SAC,2
DEN,SAS,1
DEN,SAS,2
DEN,TOR,1
DEN,UTA,1
DEN,UTA,2
DEN,WAS,1
DET,ATL,1
DET,BKN,1
DET,BOS,1
DET,BOS,2
DET,CHA,1
DET,CHA,2
DET,CHI,1
DET,CHI,2
DET,CLE,1
DET,CLE,2
DET,DAL,1
DET,DEN,1
DET,GS,1
DET,HOU,1
DET,IND,1
DET,IND,2
DET,LAC,1
DET,LAL,1
DET,MEM,1
DET,MIA,1
DET,MIA,2
DET,MIL,1
DET,MIL,2
DET,MIN,1
DET,NO,1
DET,NY,1
DET,NY,2
DET,OKC,1
DET,ORL,1
DET,ORL,2
DET,PHI,1
DET,PHI,2
DET,PHX,1
DET,POR,1
DET,SAC,1
DET,SAS,1
DET,TOR,1
DET,TOR,2
DET,UTA,1
DET,WAS,1
DET,WAS,2
GS,ATL,1
GS,BKN,1
GS,BOS,1
GS,CHA,1
GS,CHI,1
GS,CLE,1
GS,DAL,1
GS,DAL,2
GS,DEN,1
GS,DEN,2
GS,DET,1
GS,HOU,1
GS,HOU,2
GS,IND,1
GS,LAC,1
GS,LAC,2
GS,LAL,1
GS,LAL,2
GS,MEM,1
GS,MEM,2
GS,MIA,1
GS,MIL,1
GS,MIN,1
GS,MIN,2
GS,NO,1
GS,NO,2
GS,NY,1
GS,OKC,1
GS,OKC,2
GS,ORL,1
GS,PHI,1
GS,PHX,1
GS,PHX,2
GS,POR,1
GS,POR,2
GS,SAC,1
GS,SAC,2
GS,SAS,1
GS,TOR,1
GS,UTA,1
GS,WAS,1
HOU,ATL,1
HOU,BKN,1
HOU,BOS,1
HOU,CHA,1
HOU,CHI,1
HOU,CLE,1
HOU,DAL,1
HOU,DAL,2
HOU,DEN,1
HOU,DEN,2
HOU,DET,1
HOU,GS,1
HOU,GS,2
HOU,IND,1
HOU,LAC,1
HOU,LAL,1
HOU,LAL,2
HOU,MEM,1
HOU,MEM,2
HOU,MIA,1
HOU,MIL,1
HOU,MIN,1
HOU,NO,1
HOU,NO,2
HOU,NY,1
HOU,OKC,1
HOU,OKC,2
HOU,ORL,1
HOU,PHI,1
HOU,PHX,1
HOU,PHX,2
HOU,POR,1
HOU,POR,2
HOU,SAC,1
HOU,SAC,2
HOU,SAS,1
HOU,SAS,2
HOU,TOR,1
HOU,UTA,1
HOU,UTA,2
HOU,WAS,1
IND,ATL,1
IND,ATL,2
IND,BKN,1
IND,BKN,2
