STOREID,average daily demand,Distribution center
4166715,95,DC1
4166869,166,DC1
4167513,189,DC1
4167514,109,DC1
4168448,201,DC1
4168638,131,DC1
4168686,205,DC1
4168791,110,DC1
4168796,151,DC1
4168799,231,DC1
4168801,160,DC1
4168802,284,DC1
4168803,207,DC1
4168805,224,DC1
4168806,240,DC1
4168807,185,DC1
4168808,142,DC1
4168809,127,DC1
4168811,184,DC1
4168812,173,DC1
4168813,157,DC1
4168815,187,DC1
4168819,183,DC1
4168820,128,DC1
4168821,168,DC1
4168822,153,DC1
4168823,153,DC1
4168824,208,DC1
4168826,169,DC1
4168828,218,DC1
4168831,176,DC1
4168833,180,DC1
4168834,156,DC1
4168835,212,DC1
4168836,211,DC1
4168843,210,DC1
4168844,208,DC1
4168850,221,DC1
4168856,182,DC1
4168859,109,DC1
4168861,109,DC1
4168862,134,DC1
4168863,167,DC1
4168865,182,DC1
4168866,182,DC1
4168867,167,DC1
4168869,190,DC1
4168870,262,DC1
4168871,141,DC1
4168872,178,DC1
4168873,225,DC1
4168874,188,DC1
4168875,211,DC1
4168876,229,DC1
4168877,230,DC1
4168878,160,DC1
4168879,197,DC1
4168880,240,DC1
4168881,149,DC1
4168884,171,DC1
4168885,171,DC1
4168886,197,DC1
4168887,169,DC1
4168888,219,DC1
4168891,249,DC1
4168935,133,DC1
4168965,165,DC1
4169472,137,DC1
4169488,133,DC1
4169497,308,DC1
4169505,109,DC1
4169507,112,DC1
4169517,163,DC1
4169520,164,DC1
4169527,198,DC1
4169532,105,DC1
4169536,169,DC1
4169550,127,DC1
4169560,221,DC1
4169563,259,DC1
4169568,155,DC1
4169570,181,DC1
4169576,116,DC1
4169582,209,DC1
4169592,107,DC1
4169593,164,DC1
4169613,132,DC1
4169708,212,DC1
4169709,167,DC1
4169713,199,DC1
4169714,215,DC1
4169715,192,DC1
4169717,260,DC1
4169718,140,DC1
4169719,183,DC1
4169720,135,DC1
4169721,175,DC1
4169729,155,DC1
4169730,168,DC1
4169732,206,DC1
4169733,125,DC1
4169734,223,DC1
4169736,223,DC1
4169737,170,DC1
4169738,179,DC1
4169739,182,DC1
4169740,176,DC1
4169742,152,DC1
4169744,224,DC1
4169745,142,DC1
4169746,181,DC1
4169747,210,DC1
4169751,147,DC1
4169752,189,DC1
4169753,162,DC1
4169754,146,DC1
4169757,131,DC1
4169758,352,DC1
4169761,177,DC1
4169767,235,DC1
4169773,288,DC1
4169777,164,DC1
4169778,219,DC1
4169780,185,DC1
4169782,139,DC1
4169783,224,DC1
4169784,241,DC1
4169786,139,DC1
4169788,150,DC1
4169791,181,DC1
4169793,159,DC1
4169794,199,DC1
4169795,148,DC1
4169796,216,DC1
4169800,303,DC1
4169802,130,DC1
4169803,144,DC1
4169804,151,DC1
4169807,151,DC1
4169809,127,DC1
4169811,133,DC1
4169812,176,DC1
4169813,151,DC1
4169814,166,DC1
4169820,228,DC1
4169821,137,DC1
4169825,147,DC1
4169826,175,DC1
4169827,176,DC1
4169828,149,DC1
4169829,184,DC1
4169831,218,DC1
4169835,173,DC1
4169839,310,DC1
4169844,417,DC1
4169849,259,DC1
4169855,348,DC1
4169859,136,DC1
4169862,153,DC1
4169864,147,DC1
4169870,212,DC1
4169872,179,DC1
4169873,180,DC1
4169874,173,DC1
4169875,156,DC1
4169877,103,DC1
4169878,123,DC1
4169879,147,DC1
4169880,124,DC1
4169881,110,DC1
4169883,276,DC1
4169886,244,DC1
4169888,303,DC1
4169889,252,DC1
4169896,157,DC1
4169897,156,DC1
4169899,200,DC1
4169900,122,DC1
4169901,190,DC1
4169910,167,DC1
4169911,180,DC1
4169912,138,DC1
4169918,117,DC1
4169920,143,DC1
4169921,168,DC1
4169922,140,DC1
4169923,209,DC1
4169926,141,DC1
4169933,161,DC1
4169934,130,DC1
4169935,127,DC1
4169936,217,DC1
4169938,194,DC1
4169943,202,DC1
4169945,152,DC1
4169946,265,DC1
4169948,102,DC1
4169949,130,DC1
4169950,125,DC1
4169952,162,DC1
4169953,180,DC1
4169954,191,DC1
4169968,130,DC1
4169972,236,DC1
4169977,167,DC1
4169978,139,DC1
4169979,149,DC1
4169986,255,DC1
4169989,212,DC1
4169991,115,DC1
4169992,127,DC1
4169993,110,DC1
4170003,135,DC1
4170004,112,DC1
4170005,140,DC1
4170006,182,DC1
4170007,113,DC1
4170009,140,DC1
4170010,146,DC1
4170014,291,DC1
4170033,108,DC1
4170035,140,DC1
4170044,214,DC1
4170061,167,DC1
4170062,124,DC1
4170064,126,DC1
4170067,105,DC1
4170069,110,DC1
4170071,192,DC1
4170075,150,DC1
4170078,114,DC1
4170082,216,DC1
4170085,190,DC1
4170087,152,DC1
4170088,157,DC1
4170089,159,DC1
4170094,249,DC1
4170098,146,DC1
4170103,101,DC1
4170215,142,DC1
4170218,231,DC1
4170219,98,DC1
4170221,132,DC1
4170222,243,DC1
4170223,256,DC1
